N = 100, T = 0.010000/kb, dim = 2, max displacement = 0.200000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
618 0.010000 -82.155490
619 0.010000 -82.166621
620 0.010000 -82.127340
621 0.010000 -82.218567
622 0.010000 -82.211674
623 0.010000 -82.217493
624 0.010000 -82.218593
625 0.010000 -82.254077
626 0.010000 -82.252239
627 0.010000 -82.241574
628 0.010000 -82.247947
629 0.010000 -82.279913
630 0.010000 -82.300129
631 0.010000 -82.323220
632 0.010000 -82.325008
633 0.010000 -82.304939
634 0.010000 -82.314159
635 0.010000 -82.275671
636 0.010000 -82.258227
637 0.010000 -82.230958
638 0.010000 -82.237991
639 0.010000 -82.226275
640 0.010000 -82.249099
641 0.010000 -82.292349
642 0.010000 -82.307215
643 0.010000 -82.342278
644 0.010000 -82.338434
645 0.010000 -82.301889
646 0.010000 -82.288897
647 0.010000 -82.269543
648 0.010000 -82.303613
649 0.010000 -82.312958
650 0.010000 -82.305662
651 0.010000 -82.316638
652 0.010000 -82.371072
653 0.010000 -82.363416
654 0.010000 -82.351605
655 0.010000 -82.373741
656 0.010000 -82.400318
657 0.010000 -82.401035
658 0.010000 -82.443899
659 0.010000 -82.398586
660 0.010000 -82.387642
661 0.010000 -82.399060
662 0.010000 -82.423162
663 0.010000 -82.426549
664 0.010000 -82.440208
665 0.010000 -82.454427
666 0.010000 -82.441832
667 0.010000 -82.472307
668 0.010000 -82.462498
669 0.010000 -82.456724
670 0.010000 -82.451633
671 0.010000 -82.477423
672 0.010000 -82.503506
673 0.010000 -82.487434
674 0.010000 -82.589926
675 0.010000 -82.568740
676 0.010000 -82.557550
677 0.010000 -82.529092
678 0.010000 -82.530264
679 0.010000 -82.538553
680 0.010000 -82.543653
681 0.010000 -82.548524
682 0.010000 -82.544492
683 0.010000 -82.527250
684 0.010000 -82.560411
685 0.010000 -82.544959
686 0.010000 -82.538029
687 0.010000 -82.521955
688 0.010000 -82.537248
689 0.010000 -82.536971
690 0.010000 -82.542927
691 0.010000 -82.501146
692 0.010000 -82.493154
693 0.010000 -82.558625
694 0.010000 -82.568944
695 0.010000 -82.577956
696 0.010000 -82.560583
697 0.010000 -82.609574
698 0.010000 -82.588631
699 0.010000 -82.574513
700 0.010000 -82.560999
701 0.010000 -82.583949
702 0.010000 -82.579238
703 0.010000 -82.605397
704 0.010000 -82.597229
705 0.010000 -82.595442
706 0.010000 -82.595278
707 0.010000 -82.598904
708 0.010000 -82.616371
709 0.010000 -82.624541
710 0.010000 -82.645140
711 0.010000 -82.634636
712 0.010000 -82.625825
713 0.010000 -82.631941
714 0.010000 -82.640815
715 0.010000 -82.673924
716 0.010000 -82.775242
717 0.010000 -82.777878
718 0.010000 -82.770886
719 0.010000 -82.787027
720 0.010000 -82.976465
721 0.010000 -83.064117
722 0.010000 -83.326804
723 0.010000 -83.334314
724 0.010000 -83.343810
725 0.010000 -83.346399
726 0.010000 -83.309634
727 0.010000 -83.426336
728 0.010000 -83.489863
729 0.010000 -83.481303
730 0.010000 -83.430236
731 0.010000 -83.470076
732 0.010000 -83.405681
733 0.010000 -83.548072
734 0.010000 -83.671914
735 0.010000 -83.649935
736 0.010000 -83.635960
737 0.010000 -83.994724
738 0.010000 -84.292323
739 0.010000 -84.436691
740 0.010000 -84.451570
741 0.010000 -84.510609
742 0.010000 -84.523569
743 0.010000 -84.512490
744 0.010000 -84.517401
745 0.010000 -84.522144
746 0.010000 -84.527129
747 0.010000 -84.499022
748 0.010000 -84.529991
749 0.010000 -84.516841
750 0.010000 -84.572591
751 0.010000 -84.661992
752 0.010000 -84.672784
753 0.010000 -84.646357
754 0.010000 -84.620981
755 0.010000 -84.685237
756 0.010000 -84.694896
757 0.010000 -84.887614
758 0.010000 -85.168015
759 0.010000 -85.177226
760 0.010000 -85.179911
761 0.010000 -85.190879
762 0.010000 -85.181664
763 0.010000 -85.187507
764 0.010000 -85.258847
765 0.010000 -85.279775
766 0.010000 -85.301943
767 0.010000 -85.267459
768 0.010000 -85.274364
769 0.010000 -85.420717
770 0.010000 -85.397798
771 0.010000 -85.412352
772 0.010000 -85.425221
773 0.010000 -85.466405
774 0.010000 -85.464673
775 0.010000 -85.457410
776 0.010000 -85.466963
777 0.010000 -85.429830
778 0.010000 -85.419251
779 0.010000 -85.446650
780 0.010000 -85.405060
781 0.010000 -85.416363
782 0.010000 -85.421849
783 0.010000 -85.443159
784 0.010000 -85.446430
785 0.010000 -85.426034
786 0.010000 -85.402331
787 0.010000 -85.396335
788 0.010000 -85.367569
789 0.010000 -85.392774
790 0.010000 -85.337547
791 0.010000 -85.268946
792 0.010000 -85.309332
793 0.010000 -85.337361
794 0.010000 -85.313551
795 0.010000 -85.322503
796 0.010000 -85.315587
797 0.010000 -85.368633
798 0.010000 -85.398413
799 0.010000 -85.402024
800 0.010000 -85.439268
801 0.010000 -85.425670
802 0.010000 -85.427446
803 0.010000 -85.437292
804 0.010000 -85.450382
805 0.010000 -85.445904
806 0.010000 -85.400915
807 0.010000 -85.437449
808 0.010000 -85.445824
809 0.010000 -85.463543
810 0.010000 -85.505097
811 0.010000 -85.483766
812 0.010000 -85.483282
813 0.010000 -85.477445
814 0.010000 -85.459343
815 0.010000 -85.461536
816 0.010000 -85.431088
817 0.010000 -85.415593
818 0.010000 -85.431695
819 0.010000 -85.392352
820 0.010000 -85.449016
821 0.010000 -85.489281
822 0.010000 -85.499318
823 0.010000 -85.512227
824 0.010000 -85.499630
825 0.010000 -85.506254
826 0.010000 -85.487099
827 0.010000 -85.475238
828 0.010000 -85.476356
829 0.010000 -85.493403
830 0.010000 -85.520485
831 0.010000 -85.545841
832 0.010000 -85.572343
833 0.010000 -85.551933
834 0.010000 -85.548916
835 0.010000 -85.578685
836 0.010000 -85.525284
837 0.010000 -85.538701
838 0.010000 -85.592554
839 0.010000 -85.604224
840 0.010000 -85.625789
841 0.010000 -85.652380
842 0.010000 -85.698398
843 0.010000 -85.701801
844 0.010000 -85.793661
845 0.010000 -85.795400
846 0.010000 -85.792862
847 0.010000 -85.854384
848 0.010000 -85.898172
849 0.010000 -85.966963
850 0.010000 -86.007990
851 0.010000 -86.304593
852 0.010000 -86.347500
853 0.010000 -86.390711
854 0.010000 -86.383002
855 0.010000 -86.434888
856 0.010000 -86.494680
857 0.010000 -86.588752
858 0.010000 -86.586776
859 0.010000 -86.583306
860 0.010000 -86.583807
861 0.010000 -86.556308
862 0.010000 -86.580729
863 0.010000 -86.612734
864 0.010000 -86.635994
865 0.010000 -86.657550
866 0.010000 -86.669762
867 0.010000 -86.749249
868 0.010000 -86.732324
869 0.010000 -86.751205
870 0.010000 -86.729937
871 0.010000 -86.841528
872 0.010000 -86.851200
873 0.010000 -86.823534
874 0.010000 -86.817605
875 0.010000 -86.964579
876 0.010000 -86.925082
