N = 100, T = 10.000000/kb, dim = 2, max displacement = 2.000000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
908 10.000000 -15.359128
909 10.000000 -13.648942
910 10.000000 -12.535519
911 10.000000 6.171879
912 10.000000 5.707677
913 10.000000 -6.353765
914 10.000000 -8.777565
915 10.000000 -6.342313
916 10.000000 -7.395670
917 10.000000 -7.354308
918 10.000000 -10.235209
919 10.000000 25.219069
920 10.000000 -7.891646
921 10.000000 14.016522
922 10.000000 6.478321
923 10.000000 2.118729
924 10.000000 3.431459
925 10.000000 -3.603637
926 10.000000 -9.506442
927 10.000000 -12.085927
928 10.000000 -7.431554
929 10.000000 -11.988869
930 10.000000 -6.948933
931 10.000000 -2.864429
932 10.000000 -8.990020
933 10.000000 -9.643188
934 10.000000 -9.999084
935 10.000000 -9.956143
936 10.000000 4.993526
937 10.000000 3.431149
938 10.000000 29.334933
939 10.000000 -4.584433
940 10.000000 -5.239167
941 10.000000 -7.366214
942 10.000000 -12.098945
943 10.000000 -3.990777
944 10.000000 -2.233945
945 10.000000 -6.413309
946 10.000000 -14.754858
947 10.000000 -12.675871
948 10.000000 3.876774
949 10.000000 -7.779559
950 10.000000 -4.198262
951 10.000000 -8.328740
952 10.000000 -6.444392
953 10.000000 -13.213855
954 10.000000 -10.808239
955 10.000000 -6.017523
956 10.000000 -2.870114
957 10.000000 -5.607987
958 10.000000 -5.116817
959 10.000000 8.457310
960 10.000000 6.308707
961 10.000000 5.254482
962 10.000000 7.794712
963 10.000000 16.968922
964 10.000000 8.192607
965 10.000000 15.320120
966 10.000000 6.071610
967 10.000000 -2.183475
968 10.000000 -9.159931
969 10.000000 25.173667
970 10.000000 24.369628
971 10.000000 31.609581
972 10.000000 17.487729
973 10.000000 -9.446933
974 10.000000 1.507149
975 10.000000 -9.264451
976 10.000000 -1.166107
977 10.000000 5.897206
978 10.000000 15.420479
979 10.000000 -7.424878
980 10.000000 -7.645913
981 10.000000 -8.783739
982 10.000000 -8.915269
983 10.000000 4.797776
984 10.000000 25.173220
985 10.000000 1.782068
986 10.000000 -9.307737
987 10.000000 7.606166
988 10.000000 -6.747463
989 10.000000 -3.813061
990 10.000000 9.337972
991 10.000000 -6.622555
992 10.000000 -4.222006
993 10.000000 -3.001177
994 10.000000 8.819751
995 10.000000 14.934134
996 10.000000 -13.346558
997 10.000000 -12.376047
998 10.000000 -5.901457
999 10.000000 -10.134637
1000 10.000000 -9.027303
1001 10.000000 -8.422972
1002 10.000000 -3.346389
1003 10.000000 17.220585
1004 10.000000 3.355988
1005 10.000000 -4.025999
1006 10.000000 -1.691530
1007 10.000000 -1.093511
1008 10.000000 1.476734
1009 10.000000 7.614195
1010 10.000000 8.179099
1011 10.000000 -6.722354
1012 9.990000 -10.384696
1013 9.990000 -1.546292
1014 9.990000 -12.884845
1015 9.990000 -4.890375
1016 9.990000 -10.349624
1017 9.990000 -9.862185
1018 9.990000 -8.923601
1019 9.990000 -10.475989
1020 9.990000 3.450718
1021 9.990000 -4.525805
1022 9.980000 -12.137995
1023 9.980000 -16.703396
1024 9.980000 -0.785650
1025 9.980000 15.153417
1026 9.980000 31.354715
1027 9.980000 -14.924958
1028 9.980000 -14.687100
1029 9.980000 -7.380736
1030 9.980000 -5.751559
1031 9.980000 -1.354877
1032 9.970000 3.384263
1033 9.970000 3.713344
1034 9.970000 23.717933
1035 9.970000 29.024403
1036 9.970000 -9.862183
1037 9.970000 -4.309973
1038 9.970000 -10.614150
1039 9.970000 13.748659
1040 9.970000 0.157955
1041 9.970000 -1.360016
1042 9.960000 -11.819475
1043 9.960000 -9.383206
1044 9.960000 -13.605628
1045 9.960000 -10.239505
1046 9.960000 6.727670
1047 9.960000 -1.094150
1048 9.960000 1.885374
1049 9.960000 14.174967
1050 9.960000 13.102508
1051 9.960000 -9.761214
1052 9.950000 -13.922705
1053 9.950000 -14.000938
1054 9.950000 13.571597
1055 9.950000 -6.146884
1056 9.950000 8.701213
1057 9.950000 6.658226
1058 9.950000 0.125141
1059 9.950000 -8.810412
1060 9.950000 -8.527930
1061 9.950000 -10.953675
1062 9.940000 -8.386884
1063 9.940000 -3.791828
1064 9.940000 -15.088123
1065 9.940000 -3.971987
1066 9.940000 -9.287788
1067 9.940000 -9.474419
1068 9.940000 -10.532695
1069 9.940000 -12.517936
1070 9.940000 -6.111789
1071 9.940000 -3.963707
1072 9.930000 -0.948400
1073 9.930000 -10.170494
